rank,title,link,author,star,comment_num,comment_link,price
51,发展心理学套装（第10版 共2册）(一本关于人类发…,https://www.amazon.cn/dp/B07LGT7RK1/ref=zg_bs_143553071_51?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,萨莉·奥尔兹,5.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
52,作家榜经典：经典常谈·文艺十六讲(朱自清经典传…,https://www.amazon.cn/dp/B07CBRX7DG/ref=zg_bs_143553071_52?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,朱自清,5.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
53,Excel公式与函数大辞典,https://www.amazon.cn/dp/B00CBBK7JA/ref=zg_bs_143553071_53?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,宋翔,4.4,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
54,运动解剖书合集（套装共两册）: 三次再版，畅…,https://www.amazon.cn/dp/B07D34B37N/ref=zg_bs_143553071_54?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,布朗蒂娜·卡莱-热尔曼,5.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
55,What if+How to:那些古怪又让人忧心的问题+如…,https://www.amazon.cn/dp/B088BCJ5N8/ref=zg_bs_143553071_55?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,兰道尔·门罗,4.7,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
56,纳兰词（全二册·全词笺注彩图版）(高清纳兰手…,https://www.amazon.cn/dp/B07MC81G1J/ref=zg_bs_143553071_56?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,纳兰性德,3.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
57,资深HR手把手教你做：人力资源管理（企业人力…,https://www.amazon.cn/dp/B071H9HC3Q/ref=zg_bs_143553071_57?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,郑芳,3.2,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
58,唐诗鉴赏辞典 (中国古典诗词曲赋鉴赏系列工具书),https://www.amazon.cn/dp/B008QM2SGS/ref=zg_bs_143553071_58?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,周啸天,4.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
59,《中华人民共和国民法典》条文精释与实案全析（…,https://www.amazon.cn/dp/B08CMXGMDG/ref=zg_bs_143553071_59?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,杨立新,5.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
60,唐诗百话（读此书、识唐诗 唐诗百科全书）,https://www.amazon.cn/dp/B07G88JW61/ref=zg_bs_143553071_60?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,施蛰存,2.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
61,吃：食物如何改变我们人类和全球历史（关于“…,https://www.amazon.cn/dp/B085CBDY59/ref=zg_bs_143553071_61?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,菲利普·费尔南多·阿梅斯托,4.5,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
63,1分钟物理(第15届“文津图书奖“获奖图书！“中…,https://www.amazon.cn/dp/B07PVDP7TB/ref=zg_bs_143553071_63?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,中科院物理所,4.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
64,我的第一套百科全书:鸟类王国,https://www.amazon.cn/dp/B00A4R2VG0/ref=zg_bs_143553071_64?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,青少科普编委会,4.3,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
65,行政办公管理必备制度与表格范例【涵盖当下行政…,https://www.amazon.cn/dp/B01FHIAW3E/ref=zg_bs_143553071_65?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,孙超,4.5,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
66,诗经楚辞鉴赏辞典 (中国古典诗词曲赋鉴赏系列工…,https://www.amazon.cn/dp/B00XCLULVM/ref=zg_bs_143553071_66?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,周啸天,4.1,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
67,香水鉴赏购买指南（中国第一本专业香水测评购买…,https://www.amazon.cn/dp/B008HKHHL0/ref=zg_bs_143553071_67?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,金属巧克力,3.1,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
68,那些听过却从未搞明白的问题(“全球十大教师”之…,https://www.amazon.cn/dp/B086M8FB4Y/ref=zg_bs_143553071_68?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,大卫·加耶,4.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
70,阅读的故事（一部阅读的辞海，现代理想读者之书…,https://www.amazon.cn/dp/B087BQKWM5/ref=zg_bs_143553071_70?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,唐诺,4.4,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
71,甲骨文常用字字典（精） (中华书局出品),https://www.amazon.cn/dp/B07PGB5MH4/ref=zg_bs_143553071_71?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,刘钊,5.0,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
72,元曲鉴赏辞典(新一版)(豆瓣评分9.3，经典畅销30…,https://www.amazon.cn/dp/B01I4W9EDY/ref=zg_bs_143553071_72?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,蒋星煜,4.4,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
73,超空间：科学家的冒险之旅：平行宇宙、时间弯…,https://www.amazon.cn/dp/B07DC2TH6C/ref=zg_bs_143553071_73?_encoding=UTF8&psc=1&refRID=4ZT6E5EA5R24X9MEJ2A5,加来道雄,4.3,2,https://www.amazon.cn/product-reviews/B07LGT7RK1/ref=zg_bs_143553071_cr_51?ie=UTF8&refRID=4ZT6E5EA5R24X9MEJ2A5,￥54.99
